release_year,type,Titles
1925,TV Show,1
1942,Movie,2
1943,Movie,3
1944,Movie,3
1945,Movie,3
1946,Movie,1
1946,TV Show,1
1947,Movie,1
1954,Movie,2
1955,Movie,3
1956,Movie,2
1958,Movie,3
1959,Movie,1
1960,Movie,4
1962,Movie,3
1963,Movie,1
1963,TV Show,1
1964,Movie,1
1965,Movie,2
1966,Movie,1
1967,Movie,4
1967,TV Show,1
1968,Movie,4
1968,TV Show,1
1969,Movie,2
1970,Movie,2
1971,Movie,5
1972,Movie,3
1972,TV Show,1
1973,Movie,10
1974,Movie,6
1974,TV Show,1
1975,Movie,6
1976,Movie,9
1977,Movie,6
1977,TV Show,1
1978,Movie,6
1979,Movie,10
1979,TV Show,1
1980,Movie,9
1981,Movie,8
1981,TV Show,1
1982,Movie,15
1983,Movie,9
1984,Movie,9
1985,Movie,8
1985,TV Show,1
1986,Movie,8
1986,TV Show,2
1987,Movie,7
1988,Movie,14
1988,TV Show,2
1989,Movie,12
1989,TV Show,1
1990,Movie,17
1990,TV Show,3
1991,Movie,16
1991,TV Show,1
1992,Movie,16
1992,TV Show,2
1993,Movie,18
1993,TV Show,4
1994,Movie,15
1994,TV Show,1
1995,Movie,17
1995,TV Show,2
1996,Movie,16
1996,TV Show,3
1997,Movie,26
1997,TV Show,4
1998,Movie,27
1998,TV Show,4
1999,Movie,26
1999,TV Show,7
2000,Movie,30
2000,TV Show,4
2001,Movie,32
2001,TV Show,4
2002,Movie,39
2002,TV Show,6
2003,Movie,40
2003,TV Show,9
2004,Movie,50
2004,TV Show,9
2005,Movie,61
2005,TV Show,12
2006,Movie,72
2006,TV Show,13
2007,Movie,72
2007,TV Show,13
2008,Movie,102
2008,TV Show,23
2009,Movie,103
2009,TV Show,34
2010,Movie,136
2010,TV Show,37
2011,Movie,127
2011,TV Show,39
2012,Movie,158
2012,TV Show,61
2013,Movie,202
2013,TV Show,65
2014,Movie,244
2014,TV Show,90
2015,Movie,382
2015,TV Show,159
2016,Movie,642
2016,TV Show,240
2017,Movie,744
2017,TV Show,268
2018,Movie,734
2018,TV Show,387
2019,Movie,582
2019,TV Show,414
2020,Movie,411
2020,TV Show,457
2021,Movie,12
2021,TV Show,19
